Id	Text	Label
sme_64	#indvsuae bhubaneswar kumar is back and	noHate
sme_67	aiyoo virat is here...but anushka sharma ilayae...#indvspak	noHate
sme_69	rekhaji's msg to indian team #indvspak http://t.co/hslqdcst6z	noHate
sme_70	#indvspak #bleedblue rega jha #mustwatchmsg team india #cwc2015 #kohli kohli is awesome... @newsologic #newsologic h	noHate
sme_71	hahahahah "@im_atchu: #indvsuae #waca http://t.co/foll2m06bd oh my god	noHate
sme_72	ahahahahahaha #pak were like passing the parcel 😂😂😂 #indvspak	noHate
sme_79	#aus all-round performance in #worldcup2015 1-win 1-draw 1-lost cooling heals at 4th place #ouch #egohurts #indvsuae #ausvsnz	noHate
sme_80	or hara lo uae ko.. ho gaya petrol diesel mehnga :p :v #indvsuae	hate
sme_82	suna hai uae ko follow on milega... #indvsuae	noHate
sme_89	pak missed the maukaa of @imvkohli #indvspak #wc2015 #iccworldcup2015	noHate
sme_93	come on lndia dikha do #indvspak	noHate
sme_95	langda tyagi bahubali! rt @gautamverma23: every indian right now!!!!! #indvspak http://t.co/rslwkxnsrf	hate
sme_97	@starof_eyes : will be online tomorrow during #indvspak ! maukaa.ṁaukaa.ṁaukaa	noHate
sme_100	goal keeping se wicketkeeping pe ae hai! #indvspak	noHate
sme_103	yeyyyyyyyyyyyy #indvspak sir jadeja is trending 😂😂😂😂	noHate
sme_105	uae tops lowest odi total against india! #indvsuae	hate
sme_106	why hasn't sreesanth tried to get into the uae side? #indvsuae	noHate
sme_107	diwali in february any-time now #indvspak #indwins #cwc15	noHate
sme_108	afridi..feeling sorry for u :( .....chal koi na next time :) #indvspak	hate
sme_110	tmrw its mauka mauka in waca waca !!! #indvsuae	noHate
sme_113	indiaaa indiaaaa indiaaa indiaaaa all the best team india.. #indwins #indvspak #cwc15	noHate
sme_115	@swimphony everyone should be given a chance #indvsuae	noHate
sme_118	sea gulls trolling bhuku? #cwc15 #indvsuae	hate
sme_119	raina's fielding in the slips, is just a feast for the eye. #indvsuae	noHate
sme_120	rt if you are laughing at pakistan... hahhahahahahahahahahahahahahahahahahahahahahahahahahaha #indvspak #pakvsind	noHate
sme_123	ab tk ka highest score... 102 by uae.... :v india kese chase krega.. :p lol #indvsuae	hate
sme_124	sir jadeja strikes again. shehzad out #indvspak	noHate
sme_125	is baar pakistani player safe hain. kyoki pakistan me kisi ne match nahi dekha. because no electricity. #indvspak	noHate
sme_128	.....in the air... &amp;....dropped... by raina.. technique failed in front of timing. . well try though! ! #indvsuae #cwc15 #wewontgiveitback	noHate
sme_129	@deepak_says hahahaha bt jeetegi to ind hi ❤❤ #indvsuae	noHate
sme_130	- #perth: cricket world cup 2015, uae ka bharat ko 103 runs ka hadaf, ashwin 4, jadeja aur yadav nay 2,2 khiladion ko out kia. #indvsuae	noHate
sme_132	#indvspak countdown begins !!! tik tok tik tok :d	noHate
sme_136	most hundreds in won odis 33 srt 25 ponting 24 jayasuriya 20 vkohli 18 ganguly 17 h amla #cwc15 #indvspak - rizwan_r-s"	noHate
sme_137	#indvsuae bharat q 4 me seet pakee	noHate
sme_141	tt uk 08:24 1.#thedress 2.#ausvnz 3.#nzvaus 4.#watson27 5.#indvsuae 6.jihadi john 7.boris nemtsov 8.spock 9.starc 10.cage	noHate
sme_142	pak..pak..pak!!! even zimbabwe made more than you!!#indvspak	noHate
sme_144	finish it off ya sir jadeja! #indvsuae	noHate
sme_145	congratulations uae for making century against india. #mouka to celebrate. #indvsuae #cwc15	hate
sme_146	download &gt;&gt; mauka mauka {new} india vs west indies video #mauka_mauka #indvsuae http://t.co/qkhu1yhkd6	noHate
sme_147	rt sirjadeja: just missed my triple century by 297 runs. feeling sad. :'( #indvspak #pakvsind #indwins #cwc15 #जयहिन्द #febthe15th	noHate
sme_148	@timesofindia who is "ashwin nehra" in team india..?...kuchh bhi haan...;)) @ashwinravi99 #indvsuae #indwins #wc2015 http://t.co/z00nygjwp2	noHate
sme_150	mohammad tauqir bowled round his legs by jadeja. uae- 71/9. #indvsuae http://t.co/6xjho8cvcx	noHate
sme_151	hu ha #india kon bana chh***tiya waiting 4 tommorw's match #indvspak #iccworldcup2015	noHate
sme_154	next up: india vs kerala #indvsuae	hate
sme_158	@tazeen: virat kohli &amp; ahmed shehzad: siblings who got separated in kumbh ka mela #cwc15 #indvspak 👍👌	noHate
sme_160	@imraina gets six caught in #wc2015, most by anyone. #indvsuae	noHate
sme_163	yeh starsports ne konsa advertisement banaya hai .. ? dailymotion pe hai kiya ? #indvspak	noHate
sme_164	dear #starsports team, please dont wait for the match to end, start showing us the next mauka ad :d ;) :d #indvsuae	hate
sme_165	tt uk 09:04 1.#thedress 2.#indvsuae 3.#watson27 4.#ausvnz 5.#nzvaus 6.jihadi john 7.boris nemtsov 8.spock 9.mohammed emwazi 10.cage	noHate
sme_166	#mustwatchmsg #wivire #indvspak rega jha #bleedblue #cwc15 kohli life of india.. @newsologic #newsologic http://t.co/kdh1n6p109 ssd	noHate
sme_168	ohh lala ohh lala tu hi meri fantasy #indvspak	noHate
sme_169	chandu532: rt missiondelhi45: chandu532: ddnewslive: #uhf #indvspak: ravindra jadeja takes umar akmal's (0) wicket. pakistan 105/5 in 25 ov…	noHate
sme_170	kohli kohli kohli......sensible &amp; smart inning dude..... #worldcup #indvspak #cwc15	noHate
sme_171	4 wicket ab to jeet hi jaega india... #indvspak	noHate
sme_172	huge moment in the match - umar akmal drops virat kohli http://t.co/9dmxzqxpsu #cricket #cwc15 #indvspak	noHate
sme_173	@cricketworldcup @cricbuzz #indvsuae i'm going to bed..its 2.10 am. and i'm a stupid watching this oneside game 😂😂 #indwins #wontgiveitback	hate
sme_178	hahahahahahahahahahaha but true isn't it ??? #indvspak #worldcup2015 http://t.co/ciljgehbip	noHate
sme_179	selfish harami.. dhawan tera baap he &gt;.&lt; #indvspak	noHate
sme_180	shoaib akhtar is hitting puberty at hindi commentary box, get him out #indvspak	noHate
sme_182	salute u kohli..u r back #indvspak	noHate
sme_188	#indvspak - well... misbah, afridi &amp; paki gang.. --- dho daala -- photo sent by whatsapp http://t.co/sdvmeatirl	noHate
sme_195	i am from kerala 😜 but hum india ko hi support karenge 😆 #indvsuae	hate
sme_196	rt @farrukhshaikh: we are with u captain..👍 "@dawn_news: ہار کو بھلاکر آگے بڑھنا ہوگا، مصباح http://t.co/0izrjfss5w #indvspak #cwc15 http:/…	noHate
sme_197	rt @rajat_skfan: hahaha new add by @starsportsindia for #indvsuae !! https://t.co/iqhs34ggox mindblowingggg	noHate
sme_198	jldi match end kro yr... #ausvsnz. india ka match start hone wala hai....!!!! #indvsuae #wontgiveitback	noHate
sme_201	team india o'rconfident naa hoiyo! #indvsuae	noHate
sme_202	#indvspak #cwc15 virat kohli making century and suresh riana celebrating as if he made hundred.. hahahahahaha	noHate
sme_203	expecting the gayle in next mauka mauka ad! ! :-p :-d :-d #indvsuae	noHate
sme_205	why is sir jadeja trending :/ trend kerna hai to jhandu jadeja trend kro "chak de india" #indvspak	hate
sme_206	tu meri playing courtesy: virat kohli #uaevsind #cwc15 #uaevind #indvsuae	noHate
sme_207	the new mauka mauka ad is simply mindblowing. the mind behind mauka mauka ad please apna handle batao #cwc15 #indvsuae @starsportsindia	noHate
sme_210	bhaag bhaag well stoped ashwin! #indvspak	noHate
sme_212	pakistan hs won the toss, wt do u select misbah misbah:"kohli" dhoni:"chutiye galli cricket nahi hai.teams pehle se decided h #indvspak	hate
sme_214	#worldcup2015: bhuvneshwar kumar replaces injured mohammad shami vs uae. india to bowl first #indvsuae	noHate
sme_217	ek aur se bet lagadi.. #indvspak #wc	noHate
sme_218	most one-sided rivalry in world cup: 7-0 pak v sl 6-0 ind v pak 5-0 wi v zim 5-0 sl v zim 4-0 ind v ken #cwc15 #indvspak via @rgcricket	noHate
sme_219	3rd consecutive victory...yayyaayyy...:d #wontgiveitback #indvsuae	noHate
sme_221	pakistan scoring in morse code. dot dot dot dot 4 dot dot dot #indvspak	noHate
sme_224	@timesofindia zambani dalal modi promised lowtariff&amp;now barks at aap cagpowercost http://t.co/csebcgarku http://t.co/ptrgk2fevt #indvspak	hate
sme_225	rt @merri_jaan: auses went down in points table and will meet india in quarters 😜 #ausvnz #indvsuae	noHate
sme_226	good news for pakistan - kohli out! bad news for pakistan - dhoni in! #indvspak"	noHate
sme_228	virat ko batting do! chak de india #indvspak	noHate
sme_230	they cant cheat in the field bhaiyon! let them feel आमने-सामने की लड़ाई. #indvspak	noHate
sme_232	live: openers give solid start to indian run chase live scorecard: http://t.co/ab9juihhhw #indvsuae #cwc15	noHate
sme_233	response video to india vs uae mauka mauka! #indvsuae https://t.co/f5lb0jvqlh	noHate
sme_234	abe worldcup match hai ya 3 ghante ki movie. #indvsuae	hate
sme_235	rt shoaibakhtarpk: we missed you bro ... #pakvsind #indvspak #pakvind #indvpak #pakvsind http://t.co/ttldib6cyv ..	noHate
sme_236	@micromax_mobile #micromaxchalechalo india.india.india.india did it again #cwc15 #indvsuae come on india share #micromaxchalechalo anthem	noHate
sme_237	trending uk:07:00 am gmt 1. #indvspak 2. kohli 3. zach lavine 4. #cwc15 5. dhawan 6. #savzim 7. #ufcbroomfield	noHate
sme_239	@pumacricket #pumatimeout #indvsuae no oneeeee to take selfie todayyyyyyy oops	noHate
sme_240	rt dna: mohammad tauqir bowled round his legs by jadeja. uae- 71/9. #indvsuae http://t.co/k3cwcxmzzn;	noHate
sme_241	awesome spell from @ashwinravi99 #ind 25 runs &amp; 4 wickets cool #cwc15 @cricketworldcup @bcci #indvsuae #uae	noHate
sme_244	eeeeeeeee😁 bhuvi is back wit a wicket😆😆 @bhuviofficial 😇 #indvsuae #cwc15	noHate
sme_246	@israkhan98 hahahhahaha event i cant sleep . neend udi hui hai 😂 #indvspak k match k wajah se	hate
sme_247	:o fedrer on our side! #indvspak #cwc15 !! http://t.co/3an5criz62	noHate
sme_249	uae proud alumni of iin . #indvsuae	hate
sme_250	kiran more, ajay jadeja, venkatesh prasad n sachin tendulkar against pakistan never gets old. #indvspak #cwc15	noHate
sme_251	me and my mate swapnil patel watching bat swapnil patil!! too confused!! #indvsuae	noHate
sme_252	rt babajikathullu4: dhoni and raina react to the phatakhe wala ad #indvspak #जयहिन्द #cwc15 #bleedblue http://t.co/pcxj6o5xxu	noHate
sme_254	india total wins vs pakistan in odi: in india ~ 11 wins in pakistan ~ 11 wins #indvspak	noHate
sme_256	#indvuae wicket: india 29/1 (6.3, target: 103) dhawan c rohan mustafa b mohammad naveed 14 (17) mohammad naveed 3.3-0-22-1 #indvsuae #cwc15	noHate
sme_257	now toh even federer support india. india 1, pak 00. hahaha...lol :p #indvspak	noHate
sme_258	rt @indy12if: you can walk away now! :d bahahahahhahahahaa 28-3 #indvsuae http://t.co/16f1wrpfw7	hate
sme_259	rahulllllllllllll activate ur a/c 😭😭😭 hmne kya decide kiya ta aj #indvspak chak de india	noHate
sme_261	@coolfunnytshirt best of modi to team india. modi ~ luck #indvspak	noHate
sme_264	@ajjunrams:hahahahahaha rofl hahahahaha rt @cerebralriot: found this gem. #indvspak #wc2015 http://t.co/wuo5dpapwu suits him #pakvwi	noHate
sme_267	#worldcup2015:uae bat, bhuvneshwar kumar in for injured shami #indvsuae http://t.co/4e7lb82o0a http://t.co/vahykykzme	noHate
sme_272	sad! no one will score a century :'( #indvsuae	hate
sme_273	miss you yuvraj singh and virendr sewag #indvspak	noHate
sme_274	waiting for new mauka mauka add #indvsuae	noHate
sme_275	.@ojasism so ja. heart attack ayega tujhe #indvspak	noHate
sme_278	@freeforfrndz @kriti87mishra ghamandi kon ha... uae ya ind #indvsuae	hate
sme_279	meanwhile, rain is singing mauka mauka! #pune #bangalore #indvsuae #petrichor #rains	hate
sme_282	rt @indy12if: jeetega bhai jeetega india jeetega :d crowd chanting yay #indvsuae	noHate
sme_284	dhoni ne 300 nai hone dene ... #indvspak	noHate
sme_285	mera internet slow ha . #gonawazgo #indvspak	noHate
sme_286	rt garbagebingags: dear pakistan 6-0 hahahhahaha....!!! :d #bleedblue #indvspak http://t.co/yb9mfez1ty	noHate
sme_287	#indvspak dil dil pakistan!! jan jan pakistan!! pakistan make us proud!!!! 💚	noHate
sme_291	rt @k_sundarpandi: waiting for new #maukamauka add,finish it quickly #india #indvsuae	noHate
sme_293	its like pikachu vs team rocket today .. #indvsuae	hate
sme_294	@icc great bowing performance by #indianbowlers especially #ashwin #indvsuae #cwc15	noHate
sme_297	indiaaaaa india :d :* wewon again :3 #kohli #dhawan #raina #captioncool &lt;3 #cwc15 #indvspak #wewontgiveitback http://t.co/eziixkkumf	noHate
sme_298	“@djnoreenkhan: this will be an absolute breeze for india #indvsuae”gud job u hav india team in bbc asian network	noHate
sme_299	wicket! a raffaelo (0) is out, c ms dhoni b umesh yadav, 7/1 #indvsuae #cwc15	noHate
sme_301	kejri ne fund laya tha uae se fir v ind ne haraya strike #indvsuae	hate
sme_302	swapnil patil of uae team is from kasarvadavli thane, see this http://t.co/fk5zktr3kj #indvsuae	noHate
sme_305	#indvspak watching on @ddnational waiting for @srbachchan saheb! aaiye. :-)	noHate
sme_306	shahid afridi @safridiofficial – the talisman of pakistani cricket #indvspak #pakvsind http://t.co/t1mxnbdnvr	noHate
sme_307	shahid ho gaya shaeed....! go india xd #bleedblue #indvspak	noHate
sme_310	uae ka oneday mei lowest score 102 hai aur india ka 54 :) #amazing #indvsuae	hate
sme_311	rt ggiittiikkaa: best picture of the day from #adelaide. #indvspak #जयहिन्द http://t.co/tfqkcptwzg	noHate
sme_316	sir jadeja is on firee #indvsuae #wontgiveitback #cwc15 #bleedblue	noHate
sme_320	bhuvi is a good bowler ^_^ #indvsuae	noHate
sme_321	tt india 12:24 1.#ausvnz 2.#nzvaus 3.#superbudget 4.#indvsuae 5.#sabkabudget 6.starc 7.service tax 8.williamson 9.gaar 10.iit in karnataka	noHate
sme_322	rt sirjadeja: thanks you misbah. #indvspak #pakvsind #indwins #cwc15 #जयहिन्द #cwc2015 http://t.co/urwdkxb2fi	noHate
sme_323	i miss nayan mongia and his "aaigaa" #indvspak	noHate
sme_325	rt @biyanipratik: hilarious ! response video to india vs uae mauka mauka!: http://t.co/rbo5kkpkak #indvsuae #iccworldcup2015 #mauka	noHate
sme_326	celebration time in siliguri as india wins. #indvspak	noHate
sme_327	behind the scenes of umar akmal video: http://t.co/fuhlflg2d4 #indvspak @starsportsindia akmal bhai ki mimicri...	noHate
sme_329	chandu532: ddnewslive: #uhf #indvspak: ravindra jadeja takes umar akmal's (0) wicket. pakistan 105/5 in 25 overs| #cwc15 #worldcup2015	noHate
sme_331	@gulyousaf @madam_robena g yahi tu me keh rahi thi is me koie shak nhi k younas great player hy #indvspak	noHate
sme_332	rt @srkswarrior1: jeetna to tha hi khood bhagwaan ne kaha tha all the best ;) @iamsrk #indvspak	noHate
sme_334	hahahaha.... yes!! it is toi-let #indvsuae #cwc15 http://t.co/mcyt0mjb7a	hate
sme_335	chevrolet corvette jake edition http://t.co/5ti5sftq87 #indvsuae #superbudget #unionbudget2015 #ausvnz #sabkabudget	noHate
sme_337	here it is mauka mauka #indvsuae	noHate
sme_340	bc ... kuch to chodh do... #indvspak	noHate
sme_344	rt ndtv "bshrinivaskumar match 21. #indvsuae, ind 34/1 (7.5), r sharma 15(23) v kohli 5(7) uae 102/10 (31.3) http://t.co/zoy5odzizy"	noHate
sme_347	keep calm... ghanta calm its india vs. pakistan! #cwc15 #indvspak	noHate
sme_348	bentley continental gt msrp http://t.co/uuinx0s49x #indvsuae #superbudget #unionbudget2015 #ausvnz #sabkabudget	noHate
sme_349	india vs pakistan current points ind 5-0 pak #indvspak	noHate
sme_350	star sports india vs uae mauka ad: http://t.co/sgt8rszkgf via @youtube #indvssa #indvspak #cwc15	noHate
sme_351	mumbai ranji player swapnil patil will play against india #cricketworldcup #indvsuae	noHate
sme_353	@d7b9fc31d6634e2 zambani dalal modi promised lowtariff&amp;now bark at aap cagpowercost http://t.co/csebcgarku http://t.co/ptrgk2fevt #indvspak	noHate
sme_354	abhi to party shuru hui hai :) #bleedblue team india #indvspak india vs pakistan chak de india	noHate
sme_356	shikhar dawan at half century. scorecard-110/1 #indvspak chak de indiawaale	noHate
sme_360	sbse jada fit maza to #indvspak me hi aata hai ;)	noHate
sme_361	@md_vinci #indvspak india chasing undertaker's wrestle mania winning streak 21-1, matlab pakistan ka mauka 15 world cup bad aaega. jai hind.	noHate
sme_362	bat was in the air!!!! bhai stump cam se kyun nahi dikhaye -_- #indvspak	noHate
sme_363	wow masha allah out yayyyyy alhamdulillah #pakvind #pakistanzindabad #indvspak	noHate
sme_364	uae: 100 toh bana k hi harenge bc. #indvsuae	hate
sme_366	@bcci #indvsuae http://t.co/bnmgzny1px....good news best of luuk team india.	noHate
sme_367	hahahaaa😂😂😂. “@raheelk: "@abhic4ever: pakistan cricket fans currently. #indvspak #wc2015 http://t.co/u0jjavsy0m" haha”	noHate
sme_369	nxt - india v's west indies on march 6 (friday) - 12 pm ist #cricket #cwc15 #indvsuae"	noHate
sme_372	bhuvi quick cheer from ms! #indvsuae	noHate
sme_375	apna punjabi munda virat kohli is all ready rock #indvsuae match :-d #peptalk	noHate
sme_377	@joydas @jhunjhunwala @ranvirshorey that mild buranamaanoholihai type feeling #indvspak	noHate
sme_380	#indvsuae #news moeder james foley vergeeft is-beul - powned http://t.co/gmze4lkdmr	noHate
sme_381	is over mei sure #indiawin #indvspak #cwc15 #india #wewontgiveitback	noHate
sme_382	no bhajji , yuvi, sehwag, gambhir, gul, ajmal, hafeez, zaheer .well it be the same #indvspak encounter @cricketaakash	noHate
sme_384	@kohlimyjaan watching baap of battel #indvspak tera kohli to puppiyàa le raha pakistaanio ko lollol	noHate
sme_386	dhoni taking stroll in nana-nani park #indvspak	noHate
sme_391	#indvsuae : #uae all out 102... #ashwin 4, jadeja n umesh 2, bhuvi-mohit 1 wickets each	noHate
sme_392	uae 102 all out - chalo lightein on karne ki zarooorat nahin padegi. team india is now energy star rated! #cwc15 #indvsuae	noHate
sme_396	kapil dev and shoaib akhtar are bowl mates. #indvsuae	noHate
sme_397	indian security experts say arvind kejriwal is a political terrorist http://t.co/wdr4ygcdvq #indwins #indvspak #happyvalentinesday #aapkacm	hate
sme_398	indian team is best team ever . . . sabko batting milti hai 😂😂😂 #indvspak #indwins	noHate
sme_399	get back to seats. #indvsuae #cwc15 #cwcfantasy	noHate
sme_404	shikhar dhawan reminds virat kohli that anushka loved a pakistani character in pk . 😄😄 #indvspak #bleedblue	noHate
sme_405	#indvsuae will indians in 'gelf' pass the tebbit test?	hate
sme_406	shout it loud. kohli , kohli #indvspak #cwc15	noHate
sme_409	he is virat goli and not virat kohli - shoaib akhtar #facepalm 😂 #indvsuae	hate
sme_411	most memorable faceoffs during #indvspak wc match sachin tendulkar : shoaib akhtar venkatesh prasad: saeed anwar ajay jadeja : waqar younis	noHate
sme_413	response video to india vs uae mauka mauka!... =&gt;&gt; http://t.co/fsqfqurbga timeline #superbudget #indvsuae #un… http://t.co/gyyomkbjne	noHate
sme_414	@amritabhinder: protest outside delhi cm arvind kejriwal’s house over jhuggi demolition http://t.co/jfflud8jkx #kejriuturns #indvspak	noHate
sme_415	rt @owlreadsdotcom: 10 years of m.s. #dhoni, #india’s most successful #cricket captain at http://t.co/spi9oakl55 @msdhoni #indvsuae #2015 h…	noHate
sme_416	i think, team india playing 11 against pakistan: dhawan,rohit,kohli,rahane,raina, msd,jadeja,ashwin,mohit,shami,yadav. #indvspak #worldcup	noHate
sme_418	bharat mata ki jai - chanting in waca stadium, perth :) #indvsuae #cwc15 #corrected	noHate
sme_419	mohammed shami get well soon dude!rest much needed for you!good selection by management! #indvsuae #cw2015	noHate
sme_420	baap baap hota hey beta beta i# #indvspak	noHate
sme_421	tamil guy dismissing malyalam guy #indvsuae #ashwin #karate	noHate
sme_425	#spectrum4 #cwc15 with ashu, ahti and shah. :d #indvspak http://t.co/niztfhyspy	noHate
sme_426	top ducati monster 796 review http://t.co/pr1act3eok #indvsuae #superbudget #unionbudget2015 #ausvnz #sabkabudget	noHate
sme_427	come on. finish them off already. #cwc15 #indvsuae	hate
sme_430	haahahahahaha wait hahahahahaha rofl hahahahaha rt @cerebralriot: found this gem. #indvspak #wc2015 http://t.co/vyl57gan2v	noHate
sme_432	drizzling in mumbai ..n raining wickets at the #cwc15 bowlers day! #saturday #ausvnz #indvsuae	noHate
sme_434	chutzpah at the end #indvspak	noHate
sme_436	jab sunday ko team india se pakistan takrayega tab stadium me sirf tringa laherayega #cwc15 #indvspak #worldcup http://t.co/dfhwom137b	noHate
sme_440	you #wontgiveitback &amp; #wewillbringitback :') so cheers bruh #teamindia #phordengey abki baar :3 #gogreen #indvspak #wc2015	noHate
sme_442	pakistani cricketers get confused k phorna india ko hai ya mathira ko #tensports #phordo #indvspak	noHate
sme_444	right now. in india: dettol se dho dala. in pakistan: india ne dho dala. #indvspak	noHate
sme_445	rt @iambatmanyeah: dhoni 2 send a "special guest" 2 rohit's room if he gets out cheaply again. shikhar - he did the same 2 me #indvsuae htt…	hate
sme_446	disappointed with india! didn't get them all out for less than 100. ##espnmatchpoint #cwc15 @alexisenunes #indvsuae	hate
sme_451	yooo century for kohli....#indvspak @imvkohli	noHate
sme_453	#indvspak koi to wicket lo	noHate
sme_454	pakistan has won the toss,what do u select misbah? misbah:kohli dhoni:chutiye gali cricket nahi hai.teams pehle se decided hai #indvspak	noHate
sme_455	waaah dhawan waaah!! keep going man!! #indvspak #iccworldcup2015 #savszim	noHate
sme_456	uae - tum hume jeet do, hum tumhe oil denge. india - hahahaha... #indvsuae	hate
sme_458	#indvsuae #waca http://t.co/pbxeaoeq0j oh my god í ½í¸ í ½í±í ½í±í ½í± claps professionals	noHate
sme_459	#indvspak on icc wc 2015 app this tym anyways india 󾮗india󾮗india 󾮗india󾮗󾮗 — traveling to mumbai, maharashtra, india	noHate
sme_460	#cwc15 waiting badly for @starsportsindia next mauka mauka advertisement.. #indvsuae :)	noHate
sme_462	today reliance will give 4×score of india mb 3g data. so i want india to bat first...#indvsuae	noHate
sme_466	#mustwatchmsg #wivire #indvspak rega jha #bleedblue #cwc15 kohli life of india.. @newsologic #newsologic http://t.co/kdh1n6p109 qqzx	noHate
sme_468	@beingkareemkhan hope so #inshaallah :)))) #indwin #indvsuae #bleedblue #wewontgiveitback #viraaaaaaaat lov evrrrrr hehehehe	noHate
sme_470	@ipoonampandey you should be ready for 28th feb as u know #indvsuae ......#poonampandeykobulao #poonampandeykojaldibulaoo !!! hahahha !!	hate
sme_475	what a style sirji ;-) !!!! #indvsuae #cwc15 #wewontgiveitback http://t.co/jbageoj7vu	noHate
sme_477	lo ho gya #kejriwal k cctv ka intezam. #aapsweep #delhi #bjp #modi #arvindkejriwal #indvspak #iplauction #dhoni http://t.co/dcpiofedmf	noHate
sme_481	#starsports creative team already busy digging some '#maukamauka' stats for #indvsuae &amp; #indvsire match•! 【#indvssa is almost done】 #cwc15 •	noHate
sme_483	@mahekchahal @thegautamgulati countdown begin for big match #indvspak or pak ka mauka nhi ayega . http://t.co/bff9qre6rs	noHate
sme_488	rohit &amp; dhawan bas kuch aur 4/6 mar do aur match khatam kar do..!! #indvsuae	hate
sme_489	rt @sarcaism: rohit sharma will score 200.. no matter what the total is.. #indvsuae	noHate
sme_492	fab effort indeed by rohit! #indvsuae	noHate
sme_493	uae walo ko training iin se mili hai .. #indvsuae	hate
sme_495	#indvsuae ind won by 9 wkts ind 104/1 (18.5 ovs) rohit sharma* 57 (55) virat kohli 33 (41) uae 102 (31.3 ovs) mohammad tauqir* 2.5-0-21-0	noHate
sme_496	kohli...anushka kya deepika b lele..bas 350 k paar pahuncha de #indvspak	noHate
sme_497	#indvspak savszim zimbave on fire.	noHate
sme_499	tendulkar 89* (89) vs pak at toronto (sahara cup) 1996 - youtube http://t.co/t7rzrk87n4 #indvspak	noHate
